Name,Description,Price1,Price2,Image
Austral,Pack Cerveza Dark Ale,$5.390,$ Precio x Un : $1.348,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304317a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Imperial,Cerveza Dunkel,$1.390,$ Precio x L : $4.212,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/916298a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kilometro 24.7,Cerveza Session Ipa,$3.890,$ Precio x Un : $973,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1000537a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cristal,Pack Cerveza Lager,$2.690,$ Precio x Un : $448,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/310085a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Volcanes del Sur,Cerveza Bock Chocolate B,$1.190,$ Precio x L : $3.400,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/479015a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Volcanes del Sur,Cerveza Premium Lager B,$1.190,$ Precio x L : $3.400,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/479021a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Becker,Pack Cerveza Lager,$2.950,$ Precio x Un : $492,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/307633a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Clausthaler,Cerveza sin Alcohol,$1.450,$ Precio x L : $4.394,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/489248a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kalnapilis,Cerveza No Alcoholic Lata,$1.190,$ Precio x L : $2.380,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/851946a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Alhambra,Reserva Roja,$5.690,$ Precio x Un : $1.423,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/958173a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kilometro 24.7,Cerveza Amber Lager,$3.890,$ Precio x Un : $973,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1000535a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Volcanes del Sur,"Cerveza Strong Lager 6,5°",$1.290,$ Precio x L : $3.686,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/905844a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
